STATISTIC Label,Month,Consumer Item,UNIT,VALUE
National Average Price,2012 February,Jam per lb,Euro,1.908
National Average Price,2012 February,Marmalade per lb,Euro,1.869
National Average Price,2012 February,Tea bags per 80,Euro,2.854
National Average Price,2012 February,Orange juice per litre,Euro,1.401
National Average Price,2012 February,Whiskey - take home (70cl bottle),Euro,21.728
National Average Price,2012 February,Brandy - take home (70cl bottle),Euro,25.539
National Average Price,2012 February,Vodka - take home (70cl bottle),Euro,16.562
National Average Price,2012 February,Cream liqueur - take home (70cl bottle),Euro,14.262
National Average Price,2012 February,Wine - take home (75cl bottle),Euro,8.725
National Average Price,2012 February,Cider - take home (50cl can),Euro,2.114
National Average Price,2012 February,Sherry - take home (75cl bottle),Euro,10.851
National Average Price,2012 February,Lager - take home (50cl can),Euro,1.8
National Average Price,2012 February,Stout - take home (50cl can),Euro,2.061
National Average Price,2012 February,Filtered cigarettes per 20 pk,Euro,9.024
National Average Price,2012 February,Stout - draught bar (1 pint),Euro,3.985
National Average Price,2012 February,Lager - draught bar (1 pint),Euro,4.322
National Average Price,2012 February,Lager - bar (33cl bottle),Euro,4.363
National Average Price,2012 February,Cider - draught bar (1 pint),Euro,4.481
National Average Price,2012 February,Ale - draught bar (1 pint),Euro,4.035
National Average Price,2012 February,Cider - bar (33cl bottle),Euro,4.484
National Average Price,2012 February,Flavoured alcoholic drink - bar (275ml bottle),Euro,5.166
National Average Price,2012 February,Whiskey - bar (single) per ½ glass,Euro,3.728
National Average Price,2012 February,Brandy - bar (single) per ½ glass,Euro,4.298
National Average Price,2012 February,Vodka - bar (single) per ½ glass,Euro,3.785
National Average Price,2012 February,Wine - bar (187ml bottle),Euro,4.878
National Average Price,2012 February,Diesel per litre,Euro,1.554
National Average Price,2012 February,Petrol - unleaded per litre,Euro,1.578
National Average Price,2012 February,Cinema fee,Euro,8.885
National Average Price,2012 February,Nightclubs fee,Euro,9.778
National Average Price,2012 February,Gent's dry cut fee,Euro,11.717
National Average Price,2012 February,"Gent's wash, cut, and blow dry fee",Euro,17.855
National Average Price,2012 February,"Ladies' wash, cut and blow dry fee",Euro,36.513
National Average Price,2012 March,"White, self raising flour per 2 kg",Euro,2.14
National Average Price,2012 March,"Brown, wholemeal flour per 2 kg",Euro,2.485
National Average Price,2012 March,"Bread, white sliced pan, large (800g)",Euro,1.281
National Average Price,2012 March,"Bread, brown sliced pan, large (800g)",Euro,1.529
